Brand,Year,Kms_Driven,Fuel_Type,Transmission,Owner_Type,Engine_CC,Max_Power_BHP,Selling_Price
BMW,2018,74374,Petrol,Manual,First,1998,220.6,35.41
Honda,2018,76747,Diesel,Automatic,First,1798,155.8,7.79
Honda,2020,50850,Petrol,Manual,First,1496,198.9,9.57
Ford,2018,77910,Petrol,Manual,First,1197,109.7,3.53
Honda,2021,40800,Diesel,Manual,First,1496,182.5,11.02
Hyundai,2013,131489,Petrol,Automatic,First,796,77.9,1.47
Hyundai,2013,127369,Diesel,Automatic,First,796,109.4,2.61
Toyota,2013,123041,Petrol,Manual,First,1496,173.8,5.69
Honda,2020,48993,Petrol,Automatic,First,1496,163.8,10.05
Honda,2023,11918,Petrol,Automatic,First,1798,184.8,18.43
BMW,2014,119233,Petrol,Manual,Second,1995,225.0,18.39
Toyota,2019,67623,Diesel,Manual,Second,1496,139.4,8.85
Hyundai,2014,108907,Petrol,Manual,First,1498,55.5,1.2
Maruti,2023,17466,Petrol,Manual,Second,1498,81.0,3.03
Ford,2022,29464,Petrol,Manual,First,1197,55.0,2.99
Hyundai,2022,22126,Petrol,Manual,First,1493,104.7,4.97
Ford,2013,129405,Diesel,Manual,First,1498,108.0,2.22
Maruti,2019,67122,Petrol,Manual,First,1498,106.1,2.72
Hyundai,2014,121095,Petrol,Manual,First,1197,84.2,1.25
Toyota,2018,67907,Diesel,Manual,First,2393,171.9,11.43
Hyundai,2016,102497,Diesel,Manual,First,796,69.3,1.66
BMW,2014,114955,Petrol,Automatic,First,1995,198.3,23.42
Maruti,2016,96189,Petrol,Automatic,First,1197,91.1,2.01
Ford,2023,9322,Diesel,Manual,First,1498,60.2,4.6
Honda,2013,119902,Diesel,Manual,First,2393,167.3,4.08
Hyundai,2020,46592,Diesel,Automatic,First,1493,87.0,4.51
Toyota,2013,127806,Petrol,Automatic,Third,1798,133.0,4.41
Maruti,2020,51317,Diesel,Automatic,Second,796,100.8,3.55
Honda,2022,25903,Diesel,Manual,First,2755,149.3,11.01
Hyundai,2018,61694,Diesel,Manual,First,1197,82.9,2.88
BMW,2015,94843,Petrol,Automatic,First,1998,252.0,42.42
Hyundai,2019,63312,Diesel,Manual,First,1197,97.3,3.58
BMW,2013,126348,Petrol,Manual,First,1998,246.0,22.29
Maruti,2016,96855,Diesel,Manual,First,1498,86.5,1.7
Toyota,2022,22288,Petrol,Manual,First,1798,166.7,17.01
Hyundai,2021,41471,Diesel,Manual,Second,796,107.9,4.05
Honda,2022,24589,Petrol,Manual,First,1496,194.8,14.19
Hyundai,2017,82222,Diesel,Manual,First,796,60.6,1.7
Toyota,2022,22951,Petrol,Automatic,First,1798,157.9,18.97
BMW,2023,17886,Petrol,Manual,First,1995,230.0,72.6
Honda,2014,110931,CNG,Manual,First,2755,162.4,3.74
Maruti,2019,57289,Diesel,Manual,Second,1493,77.9,1.91
Honda,2020,42397,Diesel,Manual,First,1496,151.3,8.63
Honda,2016,94159,Diesel,Manual,First,1798,161.7,5.3
Toyota,2019,61941,Diesel,Manual,First,2755,134.3,9.4
Hyundai,2020,49394,Petrol,Manual,First,1197,100.2,3.69
Ford,2020,42226,Petrol,Manual,Second,796,48.8,1.77
Maruti,2016,98469,Diesel,Manual,First,1498,72.1,1.38
Honda,2016,87878,Diesel,Manual,First,2755,198.9,7.55
Toyota,2013,125849,Diesel,Automatic,First,2393,160.5,7.68
Honda,2014,109607,Petrol,Automatic,Third,1798,192.7,4.87
Honda,2017,82783,Petrol,Manual,First,1798,177.8,5.95
Maruti,2018,72024,Diesel,Manual,First,796,102.3,2.66
Hyundai,2022,19580,CNG,Manual,First,1498,63.2,2.67
Hyundai,2020,52297,Diesel,Manual,Third,1498,90.8,2.76
Ford,2017,74980,Petrol,Manual,Second,796,79.8,2.22
Honda,2014,113079,Petrol,Manual,First,1496,175.1,4.75
Hyundai,2019,63942,CNG,Automatic,First,796,59.2,2.03
Hyundai,2020,51766,Diesel,Automatic,First,1493,63.5,3.2
Hyundai,2023,19273,Petrol,Manual,First,1493,54.6,2.98
Hyundai,2014,120426,Diesel,Manual,First,1493,55.0,1.2
Maruti,2017,71882,Petrol,Manual,Second,1493,99.2,1.98
Hyundai,2014,104410,Diesel,Manual,First,1197,48.4,1.2
BMW,2014,112930,Petrol,Manual,Second,1998,216.5,21.41
Maruti,2019,66950,Petrol,Manual,First,1197,66.6,1.62
Maruti,2021,39840,Petrol,Manual,First,1493,61.4,1.88
Ford,2017,81337,Diesel,Automatic,First,796,112.3,4.64
Honda,2016,97668,Petrol,Manual,First,1798,121.0,3.84
Ford,2020,47016,CNG,Automatic,Third,1197,81.7,3.24
Maruti,2015,107183,Petrol,Automatic,First,1493,96.4,1.97
Maruti,2016,89639,Diesel,Manual,First,796,49.9,1.2
Toyota,2022,29173,Diesel,Manual,First,2393,118.4,13.42
Honda,2022,29204,Petrol,Automatic,Third,1798,159.1,10.24
Hyundai,2015,102042,Diesel,Manual,First,1197,81.4,1.85
Toyota,2013,124935,Petrol,Manual,Third,2755,169.3,4.4
Toyota,2019,64160,Petrol,Automatic,First,2393,131.3,10.89
Toyota,2019,62610,Petrol,Manual,First,1496,182.7,11.47
Maruti,2019,62152,Petrol,Manual,Third,796,99.1,1.99
Maruti,2016,92254,Diesel,Manual,First,796,50.8,1.2
Maruti,2014,116468,Petrol,Manual,First,1498,101.0,1.36
Maruti,2019,53196,CNG,Manual,First,1498,81.8,1.93
Toyota,2023,20487,Petrol,Automatic,First,2755,178.7,28.95
BMW,2017,77090,Petrol,Automatic,First,2993,204.0,42.69
Maruti,2013,120993,Diesel,Manual,Third,1197,60.4,1.2
Maruti,2020,51279,Diesel,Manual,First,796,107.2,3.44
Ford,2016,92641,Petrol,Manual,First,1493,83.9,2.46
Maruti,2018,64634,Diesel,Manual,First,1493,77.7,1.99
Honda,2014,124889,Petrol,Manual,Second,1798,193.3,3.92
Honda,2015,102946,CNG,Manual,First,1798,135.5,3.28
Hyundai,2020,45494,Petrol,Manual,First,1197,68.3,2.48
Ford,2022,30955,Petrol,Manual,First,1498,55.2,3.17
BMW,2021,45247,Diesel,Automatic,Second,2993,232.3,67.21
Hyundai,2023,16458,Diesel,Manual,First,796,57.8,3.6
Hyundai,2014,110873,Diesel,Manual,First,1197,48.4,1.2
Honda,2017,77488,Diesel,Manual,First,1496,187.8,7.56
Maruti,2017,85731,Petrol,Manual,First,1493,80.3,1.64
Hyundai,2015,97752,Diesel,Manual,Second,1197,99.3,2.16
Honda,2015,107201,Petrol,Manual,First,2393,137.6,3.66
Toyota,2016,94295,Petrol,Manual,Second,2393,167.2,6.95
Honda,2016,88377,Petrol,Automatic,First,1496,118.7,4.62
Honda,2020,43374,Petrol,Automatic,First,2755,161.1,10.02
Hyundai,2021,31773,Diesel,Automatic,First,1493,72.0,3.93
Honda,2017,87978,Diesel,Manual,Second,1798,135.1,4.33
Maruti,2014,110050,Petrol,Manual,First,1498,49.7,1.2
Maruti,2017,89886,Petrol,Manual,Third,1498,77.0,1.2
Hyundai,2014,116711,Petrol,Manual,First,1197,60.3,1.2
Honda,2014,117399,Petrol,Manual,Third,2393,175.5,3.12
Toyota,2022,26588,Petrol,Automatic,Second,1496,120.5,13.33
Ford,2016,88693,Diesel,Manual,First,1197,70.0,2.14
Maruti,2018,74209,CNG,Automatic,First,1498,95.7,2.44
BMW,2018,75757,Diesel,Automatic,Second,1998,251.3,47.84
Hyundai,2018,65637,Diesel,Manual,First,1498,72.6,2.41
Hyundai,2013,117395,Petrol,Manual,First,1197,87.9,1.53
Hyundai,2015,106489,Diesel,Automatic,Second,796,72.1,1.66
Hyundai,2017,81400,Petrol,Manual,Second,1493,110.1,2.34
Maruti,2019,63666,Petrol,Automatic,First,1498,51.0,1.51
Ford,2018,69132,Diesel,Manual,First,796,100.0,3.79
Hyundai,2022,33058,Petrol,Manual,First,1498,55.1,2.6
Toyota,2019,67386,Petrol,Manual,First,2755,153.2,10.34
Maruti,2018,68684,Diesel,Automatic,First,1197,81.0,2.5
Honda,2022,28998,Petrol,Automatic,Second,2755,164.2,11.18
Maruti,2016,96211,Petrol,Manual,First,1493,56.9,1.2
Hyundai,2017,84097,Diesel,Manual,First,1493,67.6,1.74
Maruti,2019,53852,Petrol,Manual,First,1197,65.1,1.68
